"","rownames(datExpr)","affy_hg_u133a","ensembl_gene_id","entrezgene_id","external_gene_name","hgnc_symbol","mirbase_id","chromosome_name","start_position","end_position","gene_biotype"
"9593","206158_s_at","206158_s_at","ENSG00000169714",7555,"CNBP","CNBP","","3",129167827,129183922,"protein_coding"
"6710","206159_at","206159_at","ENSG00000266524",NA,"GDF10","GDF10","","10",47300197,47313577,"protein_coding"
"9194","206160_at","206160_at","ENSG00000124701",10930,"APOBEC2","APOBEC2","","6",41053202,41064891,"protein_coding"
"7983","206161_s_at","206161_s_at","ENSG00000129990",6861,"SYT5","SYT5","","19",55171196,55180289,"protein_coding"
"7984","206162_x_at","206162_x_at","ENSG00000129990",6861,"SYT5","SYT5","","19",55171196,55180289,"protein_coding"
"6674","206163_at","206163_at","ENSG00000180660",4081,"MAB21L1","MAB21L1","","13",35473789,35476689,"protein_coding"
"11303","206164_at","206164_at","ENSG00000137975",9635,"CLCA2","CLCA2","","1",86424171,86456553,"protein_coding"
"11302","206165_s_at","206165_s_at","ENSG00000137975",9635,"CLCA2","CLCA2","","1",86424171,86456553,"protein_coding"
"11301","206166_s_at","206166_s_at","ENSG00000137975",9635,"CLCA2","CLCA2","","1",86424171,86456553,"protein_coding"
"6634","206167_s_at","206167_s_at","ENSG00000047648",395,"ARHGAP6","ARHGAP6","","X",11117651,11665920,"protein_coding"
"NA.100","206168_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6851","206169_x_at","206169_x_at","ENSG00000100403",NA,"ZC3H7B","ZC3H7B","","22",41301525,41360147,"protein_coding"
"9405","206170_at","206170_at","ENSG00000169252",154,"ADRB2","ADRB2","","5",148826611,148828623,"protein_coding"
"11265","206171_at","206171_at","ENSG00000282608",140,"ADORA3","ADORA3","","1",111499429,111503633,"protein_coding"
"6806","206172_at","206172_at","ENSG00000123496",3598,"IL13RA2","IL13RA2","","X",115003975,115019977,"protein_coding"
"8896","206173_x_at","206173_x_at","ENSG00000104064",2553,"GABPB1","GABPB1","","15",50275389,50355408,"protein_coding"
"9054","206174_s_at","206174_s_at","ENSG00000119414",5537,"PPP6C","PPP6C","","9",125146573,125189939,"protein_coding"
"7418","206175_x_at","206175_x_at","ENSG00000159885",7673,"ZNF222","ZNF222","","19",44025342,44033110,"protein_coding"
"6569","206176_at","206176_at","ENSG00000153162",654,"BMP6","BMP6","","6",7726099,7881728,"protein_coding"
"7650","206177_s_at","206177_s_at","ENSG00000118520",383,"ARG1","ARG1","","6",131470832,131584332,"protein_coding"
"7963","206178_at","206178_at","ENSG00000127472",5322,"PLA2G5","PLA2G5","","1",20028179,20091911,"protein_coding"
"8630","206179_s_at","206179_s_at","ENSG00000171368",11076,"TPPP","TPPP","","5",659862,693352,"protein_coding"
"10584","206180_x_at","206180_x_at","ENSG00000169955",65988,"ZNF747","ZNF747","","16",30530367,30535347,"protein_coding"
"11182","206181_at","206181_at","ENSG00000117090",6504,"SLAMF1","SLAMF1","","1",160608106,160647044,"protein_coding"
"8707","206182_at","206182_at","ENSG00000213762",7693,"ZNF134","ZNF134","","19",57614233,57624724,"protein_coding"
"8162","206183_s_at","206183_s_at","ENSG00000287542",8916,"","","","4",88523810,88708450,"protein_coding"
"7474","206184_at","206184_at","ENSG00000099942",1399,"CRKL","CRKL","","22",20917407,20953747,"protein_coding"
"6636","206185_at","206185_at","ENSG00000100122",1414,"CRYBB1","CRYBB1","","22",26599278,26618027,"protein_coding"
"10247","206186_at","206186_at","ENSG00000161647",4356,"MPP3","MPP3","","17",43800799,43833170,"protein_coding"
"8157","206187_at","206187_at","ENSG00000160013",5739,"PTGIR","PTGIR","","19",46620468,46625089,"protein_coding"
"5826","206188_at","206188_at","ENSG00000276340",9831,"ZNF623","ZNF623","","CHR_HSCHR8_3_CTG7",143621803,143641845,"protein_coding"
"8647","206189_at","206189_at","ENSG00000182168",8633,"UNC5C","UNC5C","","4",95162504,95549206,"protein_coding"
"10937","206190_at","206190_at","ENSG00000144230",2840,"GPR17","GPR17","","2",127645864,127652639,"protein_coding"
"7785","206191_at","206191_at","ENSG00000168032",956,"ENTPD3","ENTPD3","","3",40387184,40428744,"protein_coding"
"5970","206192_at","206192_at","ENSG00000237165",NA,"CDSN","CDSN","","CHR_HSCHR6_MHC_MCF_CTG1",31193614,31198966,"protein_coding"
"5969","206193_s_at","206193_s_at","ENSG00000237165",NA,"CDSN","CDSN","","CHR_HSCHR6_MHC_MCF_CTG1",31193614,31198966,"protein_coding"
"7215","206194_at","206194_at","ENSG00000198353",3221,"HOXC4","HOXC4","","12",54016931,54056030,"protein_coding"
"9367","206195_x_at","206195_x_at","ENSG00000136487",2689,"GH2","GH2","","17",63880215,63881944,"protein_coding"
"10866","206196_s_at","206196_s_at","ENSG00000108309",10900,"RUNDC3A","RUNDC3A","","17",44308413,44318670,"protein_coding"
"10170","206197_at","206197_at","ENSG00000112981",8382,"NME5","NME5","","5",138115175,138139443,"protein_coding"
"7414","206198_s_at","206198_s_at","ENSG00000007306",1087,"CEACAM7","CEACAM7","","19",41673303,41706976,"protein_coding"
"5626","206199_at","206199_at","ENSG00000280501",1087,"CEACAM7","CEACAM7","","CHR_HSCHR19_3_CTG3_1",41681649,41685845,"protein_coding"
"6805","206200_s_at","206200_s_at","ENSG00000122359",311,"ANXA11","ANXA11","","10",80150889,80205572,"protein_coding"
"7288","206201_s_at","206201_s_at","ENSG00000106511",NA,"MEOX2","MEOX2","","7",15611212,15686683,"protein_coding"
"NA.101","206202_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9906","206203_at","206203_at","ENSG00000109047",5957,"RCVRN","RCVRN","","17",9896320,9905271,"protein_coding"
"11244","206204_at","206204_at","ENSG00000115290",2888,"GRB14","GRB14","","2",164492417,164621482,"protein_coding"
"10404","206205_at","206205_at","ENSG00000051825",10198,"MPHOSPH9","MPHOSPH9","","12",123152320,123244014,"protein_coding"
"7133","206206_at","206206_at","ENSG00000134061",4064,"CD180","CD180","","5",67179613,67196799,"protein_coding"
"7381","206207_at","206207_at","ENSG00000105205",1178,"CLC","CLC","","19",39731255,39738029,"protein_coding"
"9257","206208_at","206208_at","ENSG00000167434",762,"CA4","CA4","","17",60149942,60170899,"protein_coding"
"9256","206209_s_at","206209_s_at","ENSG00000167434",762,"CA4","CA4","","17",60149942,60170899,"protein_coding"
"9436","206210_s_at","206210_s_at","ENSG00000087237",1071,"CETP","CETP","","16",56961923,56983845,"protein_coding"
"9330","206211_at","206211_at","ENSG00000007908",6401,"SELE","SELE","","1",169722640,169764705,"protein_coding"
"9137","206212_at","206212_at","ENSG00000158516",1358,"CPA2","CPA2","","7",130266863,130289798,"protein_coding"
"9051","206213_at","206213_at","ENSG00000169884",7480,"WNT10B","WNT10B","","12",48965340,48971735,"protein_coding"
"9060","206214_at","206214_at","ENSG00000146070",7941,"PLA2G7","PLA2G7","","6",46704201,46735693,"protein_coding"
"10397","206215_at","206215_at","ENSG00000183715",4978,"OPCML","OPCML","","11",132414977,133532501,"protein_coding"
"7066","206216_at","206216_at","ENSG00000184343",26576,"SRPK3","SRPK3","","X",153776412,153785732,"protein_coding"
"6591","206217_at","206217_at","ENSG00000158813",1896,"EDA","EDA","","X",69616067,70039472,"protein_coding"
"8062","206218_at","206218_at","ENSG00000099399",4113,"MAGEB2","MAGEB2","","X",30215563,30220089,"protein_coding"
"6881","206219_s_at","206219_s_at","ENSG00000141968",7409,"VAV1","VAV1","","19",6772708,6857366,"protein_coding"
"6041","206220_s_at","206220_s_at","ENSG00000280477",22821,"RASA3","RASA3","","CHR_HG2288_HG2289_PATCH",113977784,114128689,"protein_coding"
"6040","206221_at","206221_at","ENSG00000280477",22821,"RASA3","RASA3","","CHR_HG2288_HG2289_PATCH",113977784,114128689,"protein_coding"
"9207","206222_at","206222_at","ENSG00000173535",8794,"TNFRSF10C","TNFRSF10C","","8",23102921,23117445,"protein_coding"
"7822","206223_at","206223_at","ENSG00000164715",22853,"LMTK2","LMTK2","","7",98106862,98209638,"protein_coding"
"7270","206224_at","206224_at","ENSG00000170373",NA,"CST1","CST1","","20",23747562,23751268,"protein_coding"
"7429","206225_at","206225_at","ENSG00000168813",22847,"ZNF507","ZNF507","","19",32345594,32387667,"protein_coding"
"10489","206226_at","206226_at","ENSG00000113905",3273,"HRG","HRG","","3",186660216,186678234,"protein_coding"
"8700","206227_at","206227_at","ENSG00000138615",NA,"CILP","CILP","","15",65194760,65211473,"protein_coding"
"8941","206228_at","206228_at","ENSG00000075891",5076,"PAX2","PAX2","","10",100735396,100829944,"protein_coding"
"8940","206229_x_at","206229_x_at","ENSG00000075891",5076,"PAX2","PAX2","","10",100735396,100829944,"protein_coding"
"5952","206230_at","206230_at","ENSG00000274577",3975,"LHX1","LHX1","","CHR_HSCHR17_7_CTG4",36938617,36946445,"protein_coding"
"10618","206231_at","206231_at","ENSG00000105642",3780,"KCNN1","KCNN1","","19",17951293,18000085,"protein_coding"
"7038","206232_s_at","206232_s_at","ENSG00000118276",9331,"B4GALT6","B4GALT6","","18",31622246,31685836,"protein_coding"
"7039","206233_at","206233_at","ENSG00000118276",9331,"B4GALT6","B4GALT6","","18",31622246,31685836,"protein_coding"
"10199","206234_s_at","206234_s_at","ENSG00000198598",4326,"MMP17","MMP17","","12",131828393,131851783,"protein_coding"
"6785","206235_at","206235_at","ENSG00000174405",3981,"LIG4","LIG4","","13",108207439,108218368,"protein_coding"
"10758","206236_at","206236_at","ENSG00000177464",2828,"GPR4","GPR4","","19",45589764,45602212,"protein_coding"
"9677","206237_s_at","206237_s_at","ENSG00000157168",3084,"NRG1","NRG1","","8",31639222,32855666,"protein_coding"
"9885","206238_s_at","206238_s_at","ENSG00000015153",10138,"YAF2","YAF2","","12",42157104,42238349,"protein_coding"
"9446","206239_s_at","206239_s_at","ENSG00000164266",6690,"SPINK1","SPINK1","","5",147824572,147831671,"protein_coding"
"10394","206240_s_at","206240_s_at","ENSG00000196646",7695,"ZNF136","ZNF136","","19",12163064,12189871,"protein_coding"
"6980","206241_at","206241_at","ENSG00000196911",3841,"KPNA5","KPNA5","","6",116681187,116741867,"protein_coding"
"10482","206242_at","206242_at","ENSG00000142484",9032,"TM4SF5","TM4SF5","","17",4771884,4783213,"protein_coding"
"10136","206243_at","206243_at","ENSG00000157150",7079,"TIMP4","TIMP4","","3",12153068,12158912,"protein_coding"
"10745","206244_at","206244_at","ENSG00000203710",1378,"CR1","CR1","","1",207496147,207641765,"protein_coding"
"9373","206245_s_at","206245_s_at","ENSG00000116679",10625,"IVNS1ABP","IVNS1ABP","","1",185296388,185317273,"protein_coding"
"10579","206246_at","206246_at","ENSG00000114268",5210,"PFKFB4","PFKFB4","","3",48517684,48562015,"protein_coding"
"5638","206247_at","206247_at","ENSG00000231179",4277,"MICB","MICB","","CHR_HSCHR6_MHC_APD_CTG1",31561856,31578081,"protein_coding"
"7350","206248_at","206248_at","ENSG00000171132",5581,"PRKCE","PRKCE","","2",45651345,46187990,"protein_coding"
"9154","206249_at","206249_at","ENSG00000073803",9175,"MAP3K13","MAP3K13","","3",185282941,185489094,"protein_coding"
"8812","206250_x_at","206250_x_at","ENSG00000166148",552,"AVPR1A","AVPR1A","","12",63142759,63151201,"protein_coding"
"8813","206251_s_at","206251_s_at","ENSG00000166148",552,"AVPR1A","AVPR1A","","12",63142759,63151201,"protein_coding"
"8811","206252_s_at","206252_s_at","ENSG00000166148",552,"AVPR1A","AVPR1A","","12",63142759,63151201,"protein_coding"
"9674","206253_at","206253_at","ENSG00000150672",1740,"DLG2","DLG2","","11",83455012,85627922,"protein_coding"
"7768","206254_at","206254_at","ENSG00000138798",1950,"EGF","EGF","","4",109912883,110013766,"protein_coding"
"6484","206255_at","206255_at","ENSG00000285369",640,"","","","CHR_HG76_PATCH",8388247,8409603,"protein_coding"
"6916","206256_at","206256_at","ENSG00000120054",1369,"CPN1","CPN1","","10",100042193,100081869,"protein_coding"
"7968","206257_at","206257_at","ENSG00000105321",26093,"CCDC9","CCDC9","","19",47255980,47273701,"protein_coding"
"6720","206258_at","206258_at","ENSG00000101638",29906,"ST8SIA5","ST8SIA5","","18",46667821,46759257,"protein_coding"
"10931","206259_at","206259_at","ENSG00000115718",5624,"PROC","PROC","","2",127418427,127429242,"protein_coding"
"6009","206260_at","206260_at","ENSG00000281886",7047,"TGM4","TGM4","","CHR_HG2066_PATCH",44874604,44914986,"protein_coding"
"9423","206261_at","206261_at","ENSG00000196793",8187,"ZNF239","ZNF239","","10",43556344,43574618,"protein_coding"
"7762","206262_at","206262_at","ENSG00000248144",126,"ADH1C","ADH1C","","4",99336497,99352746,"protein_coding"
"9516","206263_at","206263_at","ENSG00000076258",2329,"FMO4","FMO4","","1",171314183,171342084,"protein_coding"
"7857","206264_at","206264_at","ENSG00000112293",2822,"GPLD1","GPLD1","","6",24424565,24495205,"protein_coding"
"7856","206265_s_at","206265_s_at","ENSG00000112293",2822,"GPLD1","GPLD1","","6",24424565,24495205,"protein_coding"
"NA.102","206266_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6908","206267_s_at","206267_s_at","ENSG00000007264",4145,"MATK","MATK","","19",3777970,3802129,"protein_coding"
"10942","206268_at","206268_at","ENSG00000243709",10637,"LEFTY1","LEFTY1","","1",225886282,225911382,"protein_coding"
"7781","206269_at","206269_at","ENSG00000137270",8521,"GCM1","GCM1","","6",53126961,53148841,"protein_coding"
"9987","206270_at","206270_at","ENSG00000126583",5582,"PRKCG","PRKCG","","19",53879190,53907652,"protein_coding"
"10268","206271_at","206271_at","ENSG00000164342",7098,"TLR3","TLR3","","4",186069155,186088073,"protein_coding"
"9454","206272_at","206272_at","ENSG00000168118",5867,"RAB4A","RAB4A","","1",229271062,229305894,"protein_coding"
"7010","206273_at","206273_at","ENSG00000141391",10650,"PRELID3A","PRELID3A","","18",12407896,12432238,"protein_coding"
"11094","206274_s_at","206274_s_at","ENSG00000058453",9696,"CROCC","CROCC","","1",16740273,16972964,"protein_coding"
"10479","206275_s_at","206275_s_at","ENSG00000133816",9645,"MICAL2","MICAL2","","11",12094008,12359144,"protein_coding"
"7715","206276_at","206276_at","ENSG00000167656",8581,"LY6D","LY6D","","8",142784882,142786539,"protein_coding"
"9660","206277_at","206277_at","ENSG00000175591",5029,"P2RY2","P2RY2","","11",73218281,73242427,"protein_coding"
"7868","206278_at","206278_at","ENSG00000169403",5724,"PTAFR","PTAFR","","1",28147166,28193936,"protein_coding"
"5872","206279_at","206279_at","ENSG00000099725",5616,"PRKY","PRKY","","Y",7273972,7381548,"transcribed_unitary_pseudogene"
"6912","206280_at","206280_at","ENSG00000145526",1016,"CDH18","CDH18","","5",19471296,20575873,"protein_coding"
"7101","206281_at","206281_at","ENSG00000141433",116,"ADCYAP1","ADCYAP1","","18",904871,912172,"protein_coding"
"10869","206282_at","206282_at","ENSG00000162992",4760,"NEUROD1","NEUROD1","","2",181668295,181680827,"protein_coding"
"11259","206283_s_at","206283_s_at","ENSG00000162367",6886,"TAL1","TAL1","","1",47216290,47232225,"protein_coding"
"9464","206284_x_at","206284_x_at","ENSG00000175416",1212,"CLTB","CLTB","","5",176392501,176416539,"protein_coding"
"9800","206285_at","206285_at","ENSG00000144061",4867,"NPHP1","NPHP1","","2",110122311,110205066,"protein_coding"
"7832","206286_s_at","206286_s_at","ENSG00000225366",NA,"TDGF1P3","TDGF1P3","","X",110520312,110523021,"protein_coding"
"7908","206287_s_at","206287_s_at","ENSG00000055955",3700,"ITIH4","ITIH4","","3",52812962,52830688,"protein_coding"
"7502","206288_at","206288_at","ENSG00000164219",5229,"PGGT1B","PGGT1B","","5",115204012,115262877,"protein_coding"
"10149","206289_at","206289_at","ENSG00000197576",3201,"HOXA4","HOXA4","","7",27128507,27130780,"protein_coding"
"11165","206290_s_at","206290_s_at","ENSG00000182901",6000,"RGS7","RGS7","","1",240767636,241357374,"protein_coding"
"10677","206291_at","206291_at","ENSG00000133636",4922,"NTS","NTS","","12",85874295,85882992,"protein_coding"
"7539","206292_s_at","206292_s_at","ENSG00000105398",NA,"SULT2A1","SULT2A1","","19",47870467,47886315,"protein_coding"
"7540","206293_at","206293_at","ENSG00000105398",NA,"SULT2A1","SULT2A1","","19",47870467,47886315,"protein_coding"
"8839","206294_at","206294_at","ENSG00000203859",3284,"HSD3B2","HSD3B2","","1",119414931,119423035,"protein_coding"
"8507","206295_at","206295_at","ENSG00000150782",3606,"IL18","IL18","","11",112143253,112164096,"protein_coding"
"6241","206296_x_at","206296_x_at","ENSG00000282928",11184,"MAP4K1","MAP4K1","","CHR_HG26_PATCH",38587641,38618882,"protein_coding"
"11042","206297_at","206297_at","ENSG00000162438",11330,"CTRC","CTRC","","1",15438442,15449242,"protein_coding"
"9766","206298_at","206298_at","ENSG00000128805",58504,"ARHGAP22","ARHGAP22","","10",48446036,48656265,"protein_coding"
"6978","206299_at","206299_at","ENSG00000130054",27112,"NALF2","NALF2","","X",69504326,69532508,"protein_coding"
"9371","206300_s_at","206300_s_at","ENSG00000087494",5744,"PTHLH","PTHLH","","12",27958084,27972733,"protein_coding"
"7305","206301_at","206301_at","ENSG00000135605",7006,"TEC","TEC","","4",48135783,48269838,"protein_coding"
"8183","206302_s_at","206302_s_at","ENSG00000173598",11163,"NUDT4","NUDT4","","12",93377883,93408146,"protein_coding"
"8182","206303_s_at","206303_s_at","ENSG00000173598",11163,"NUDT4","NUDT4","","12",93377883,93408146,"protein_coding"
"11253","206304_at","206304_at","ENSG00000133055",NA,"MYBPH","MYBPH","","1",203167811,203175826,"protein_coding"
"11282","206305_s_at","206305_s_at","ENSG00000157131",731,"C8A","C8A","","1",56854768,56918223,"protein_coding"
"8322","206306_at","206306_at","ENSG00000198838",6263,"RYR3","RYR3","","15",33310962,33866121,"protein_coding"
"9317","206307_s_at","206307_s_at","ENSG00000251493",2297,"FOXD1","FOXD1","","5",73444827,73448777,"protein_coding"
"6593","206308_at","206308_at","ENSG00000107614",1787,"TRDMT1","TRDMT1","","10",17137336,17202054,"protein_coding"
"6143","206309_at","206309_at","ENSG00000136110",11061,"CNMD","CNMD","","13",52703264,52739820,"protein_coding"
"10180","206310_at","206310_at","ENSG00000128040",6691,"SPINK2","SPINK2","","4",56809860,56821742,"protein_coding"
"8291","206311_s_at","206311_s_at","ENSG00000170890",5319,"PLA2G1B","PLA2G1B","","12",120322115,120327779,"protein_coding"
"10734","206312_at","206312_at","ENSG00000070019",2984,"GUCY2C","GUCY2C","","12",14612632,14696599,"protein_coding"
"5794","206313_at","206313_at","ENSG00000232957",3111,"HLA-DOA","HLA-DOA","","CHR_HSCHR6_MHC_SSTO_CTG1",33144838,33150271,"protein_coding"
"5978","206314_at","206314_at","ENSG00000281894",55888,"ZKSCAN7","ZKSCAN7","","CHR_HG2066_PATCH",44555193,44594173,"protein_coding"
"10042","206315_at","206315_at","ENSG00000006016",9244,"CRLF1","CRLF1","","19",18572220,18607741,"protein_coding"
"9601","206316_s_at","206316_s_at","ENSG00000184445",9735,"KNTC1","KNTC1","","12",122527246,122626396,"protein_coding"
"9749","206317_s_at","206317_s_at","ENSG00000197150",11194,"ABCB8","ABCB8","","7",151028422,151047782,"protein_coding"
"7053","206318_at","206318_at","ENSG00000101448",57119,"EPPIN","EPPIN","","20",45540626,45547752,"protein_coding"
"7054","206319_s_at","206319_s_at","ENSG00000101448",57119,"EPPIN","EPPIN","","20",45540626,45547752,"protein_coding"
"6497","206320_s_at","206320_s_at","ENSG00000120693",4093,"SMAD9","SMAD9","","13",36844831,36920765,"protein_coding"
"6540","206321_at","206321_at","ENSG00000288283",5989,"RFX1","RFX1","","CHR_HG109_PATCH",13961530,14007039,"protein_coding"
"6262","206322_at","206322_at","ENSG00000185666",NA,"SYN3","SYN3","","22",32507820,33058381,"protein_coding"
"NA.103","206323_x_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8243","206324_s_at","206324_s_at","ENSG00000035664",23604,"DAPK2","DAPK2","","15",63907036,64072033,"protein_coding"
"5867","206325_at","206325_at","ENSG00000277405",866,"SERPINA6","SERPINA6","","CHR_HSCHR14_7_CTG1",94304248,94323394,"protein_coding"
"7456","206326_at","206326_at","ENSG00000134443",2922,"GRP","GRP","","18",59220158,59230774,"protein_coding"
"9522","206327_s_at","206327_s_at","ENSG00000129910",1013,"CDH15","CDH15","","16",89171748,89195492,"protein_coding"
"9521","206328_at","206328_at","ENSG00000129910",1013,"CDH15","CDH15","","16",89171748,89195492,"protein_coding"
"7998","206329_at","206329_at","ENSG00000158008",2134,"EXTL1","EXTL1","","1",26019884,26036464,"protein_coding"
"7262","206330_s_at","206330_s_at","ENSG00000148082",NA,"SHC3","SHC3","","9",89005771,89178818,"protein_coding"
"8690","206331_at","206331_at","ENSG00000064989",10203,"CALCRL","CALCRL","","2",187341964,187448460,"protein_coding"
"11277","206332_s_at","206332_s_at","ENSG00000163565",3428,"IFI16","IFI16","","1",158999968,159055155,"protein_coding"
"8459","206333_at","206333_at","ENSG00000135097",4440,"MSI1","MSI1","","12",120341330,120369164,"protein_coding"
"8323","206334_at","206334_at","ENSG00000182333",8513,"LIPF","LIPF","","10",88664441,88678814,"protein_coding"
"10773","206335_at","206335_at","ENSG00000141012",2588,"GALNS","GALNS","","16",88813734,88856970,"protein_coding"
"7767","206336_at","206336_at","ENSG00000124875",6372,"CXCL6","CXCL6","","4",73836640,73849064,"protein_coding"
"7914","206337_at","206337_at","ENSG00000126353",1236,"CCR7","CCR7","","17",40553769,40565472,"protein_coding"
"8978","206338_at","206338_at","ENSG00000196361",1995,"ELAVL3","ELAVL3","","19",11451326,11481046,"protein_coding"
"9782","206339_at","206339_at","ENSG00000164326",NA,"CARTPT","CARTPT","","5",71719275,71721048,"protein_coding"
"7803","206340_at","206340_at","ENSG00000012504",9971,"NR1H4","NR1H4","","12",100473708,100564414,"protein_coding"
"6535","206341_at","206341_at","ENSG00000134460",3559,"IL2RA","IL2RA","","10",6010689,6062370,"protein_coding"
"6726","206342_x_at","206342_x_at","ENSG00000010404",3423,"IDS","IDS","","X",149476988,149521096,"protein_coding"
"9679","206343_s_at","206343_s_at","ENSG00000157168",3084,"NRG1","NRG1","","8",31639222,32855666,"protein_coding"
"8013","206344_at","206344_at","ENSG00000005421",5444,"PON1","PON1","","7",95297676,95324532,"protein_coding"
"8014","206345_s_at","206345_s_at","ENSG00000005421",5444,"PON1","PON1","","7",95297676,95324532,"protein_coding"
"7169","206346_at","206346_at","ENSG00000113494",5618,"PRLR","PRLR","","5",35048756,35230487,"protein_coding"
"8901","206347_at","206347_at","ENSG00000067992",5165,"PDK3","PDK3","","X",24465244,24550466,"protein_coding"
"8900","206348_s_at","206348_s_at","ENSG00000067992",5165,"PDK3","PDK3","","X",24465244,24550466,"protein_coding"
"7580","206349_at","206349_at","ENSG00000108231",9211,"LGI1","LGI1","","10",93757840,93806272,"protein_coding"
"9840","206350_at","206350_at","ENSG00000132703",NA,"APCS","APCS","","1",159587826,159588865,"protein_coding"
"7541","206351_s_at","206351_s_at","ENSG00000157911",5192,"PEX10","PEX10","","1",2403964,2413797,"protein_coding"
"7542","206352_s_at","206352_s_at","ENSG00000157911",5192,"PEX10","PEX10","","1",2403964,2413797,"protein_coding"
"9057","206353_at","206353_at","ENSG00000156885",1339,"COX6A2","COX6A2","","16",31427731,31428360,"protein_coding"
"8862","206354_at","206354_at","ENSG00000111700",28234,"SLCO1B3","SLCO1B3","","12",20810702,20916911,"protein_coding"
"6886","206355_at","206355_at","ENSG00000141404",2774,"GNAL","GNAL","","18",11689264,11885685,"protein_coding"
"6887","206356_s_at","206356_s_at","ENSG00000141404",2774,"GNAL","GNAL","","18",11689264,11885685,"protein_coding"
"10757","206357_at","206357_at","ENSG00000125741",80207,"OPA3","OPA3","","19",45527767,45602212,"protein_coding"
"8827","206358_at","206358_at","ENSG00000175646",5619,"PRM1","PRM1","","16",11280841,11281330,"protein_coding"
"10564","206359_at","206359_at","ENSG00000184557",9021,"SOCS3","SOCS3","","17",78356778,78360077,"protein_coding"
"10565","206360_s_at","206360_s_at","ENSG00000184557",9021,"SOCS3","SOCS3","","17",78356778,78360077,"protein_coding"
"7191","206361_at","206361_at","ENSG00000183134",NA,"PTGDR2","PTGDR2","","11",60850933,60855950,"protein_coding"
"7473","206362_x_at","206362_x_at","ENSG00000130758",4294,"MAP3K10","MAP3K10","","19",40191426,40215575,"protein_coding"
"8026","206363_at","206363_at","ENSG00000178573",4094,"MAF","MAF","","16",79585843,79600737,"protein_coding"
"9743","206364_at","206364_at","ENSG00000118193",9928,"KIF14","KIF14","","1",200551497,200620751,"protein_coding"
"9268","206365_at","206365_at","ENSG00000143184",6375,"XCL1","XCL1","","1",168576605,168582069,"protein_coding"
"9182","206366_x_at","206366_x_at","ENSG00000143185",NA,"XCL2","XCL2","","1",168540768,168543997,"protein_coding"
"9458","206367_at","206367_at","ENSG00000143839",5972,"REN","REN","","1",204154819,204190324,"protein_coding"
"7872","206368_at","206368_at","ENSG00000145920",10814,"CPLX2","CPLX2","","5",175796310,175884021,"protein_coding"
"8553","206369_s_at","206369_s_at","ENSG00000105851",5294,"PIK3CG","PIK3CG","","7",106865278,106908980,"protein_coding"
"8554","206370_at","206370_at","ENSG00000105851",5294,"PIK3CG","PIK3CG","","7",106865278,106908980,"protein_coding"
"10563","206371_at","206371_at","ENSG00000110203",2352,"FOLR3","FOLR3","","11",72114869,72139892,"protein_coding"
"7901","206372_at","206372_at","ENSG00000111046",NA,"MYF6","MYF6","","12",80707634,80709474,"protein_coding"
"8759","206373_at","206373_at","ENSG00000152977",7545,"ZIC1","ZIC1","","3",147393422,147510293,"protein_coding"
"5579","206374_at","206374_at","ENSG00000273793",1850,"DUSP8","DUSP8","","CHR_HSCHR11_1_CTG6",1559754,1577630,"protein_coding"
"6891","206375_s_at","206375_s_at","ENSG00000169271",8988,"HSPB3","HSPB3","","5",54455699,54456377,"protein_coding"
"10245","206376_at","206376_at","ENSG00000072041",55117,"SLC6A15","SLC6A15","","12",84859491,84913629,"protein_coding"
"6619","206377_at","206377_at","ENSG00000137273",2295,"FOXF2","FOXF2","","6",1389576,1395603,"protein_coding"
"7401","206378_at","206378_at","ENSG00000110484",4250,"SCGB2A2","SCGB2A2","","11",62270158,62273160,"protein_coding"
"7907","206379_at","206379_at","ENSG00000158161",2140,"EYA3","EYA3","","1",27970344,28088637,"protein_coding"
"6830","206380_s_at","206380_s_at","ENSG00000283743",NA,"","","","X",47575128,47628742,"lncRNA"
"10854","206381_at","206381_at","ENSG00000136531",6326,"SCN2A","SCN2A","","2",165194993,165392310,"protein_coding"
"7404","206382_s_at","206382_s_at","ENSG00000176697",627,"BDNF","BDNF","","11",27654893,27722058,"protein_coding"
"9425","206383_s_at","206383_s_at","ENSG00000138757",9908,"G3BP2","G3BP2","","4",75641849,75724589,"protein_coding"
"10194","206384_at","206384_at","ENSG00000006116",10368,"CACNG3","CACNG3","","16",24256335,24362412,"protein_coding"
"6813","206385_s_at","206385_s_at","ENSG00000151150",288,"ANK3","ANK3","","10",60026298,60733490,"protein_coding"
"6700","206386_at","206386_at","ENSG00000123561",6906,"SERPINA7","SERPINA7","","X",106032435,106038727,"protein_coding"
"6068","206387_at","206387_at","ENSG00000165556",1045,"CDX2","CDX2","","13",27960918,27969315,"protein_coding"
"NA.104","206388_at",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9515","206389_s_at","206389_s_at","ENSG00000172572",5139,"PDE3A","PDE3A","","12",20368537,20688583,"protein_coding"
"10228","206390_x_at","206390_x_at","ENSG00000163737",5196,"PF4","PF4","","4",73980811,73982027,"protein_coding"
"10913","206391_at","206391_at","ENSG00000118849",5918,"RARRES1","RARRES1","","3",158696892,158732489,"protein_coding"
